"","Date","Deaths","Deaths_PD","Deaths_RC","D_RC_C","Country"
"32",2020-03-24,6820,743,0.122264275135758,0.0125126316003304,"Italy"
"33",2020-03-25,7503,683,0.100146627565982,-0.0221176475697754,"Italy"
"34",2020-03-26,8215,712,0.09489537518326,-0.00525125238272237,"Italy"
"35",2020-03-27,9134,919,0.111868533171029,0.0169731579877686,"Italy"
"36",2020-03-28,10023,889,0.0973286621414495,-0.0145398710295791,"Italy"
"37",2020-03-29,10779,756,0.0754265190062855,-0.021902143135164,"Italy"
